temp,humidity,windspeed,bike_rent_count
9.02,80,0,40
9.02,80,0,32
9.84,75,0,13
9.84,75,0,1
9.84,75,6.0032,1
9.02,80,0,2
8.2,86,0,3
9.84,75,0,8
13.12,76,0,14
15.58,76,16.9979,36
14.76,81,19.0012,56
17.22,77,19.0012,84
18.86,72,19.9995,94
18.86,72,19.0012,106
18.04,77,19.9995,110
17.22,82,19.9995,93
18.04,82,19.0012,67
17.22,88,16.9979,35
16.4,87,12.998,34
16.4,94,15.0013,28
18.86,88,19.9995,39
18.86,88,19.9995,17
18.04,94,16.9979,17
17.22,100,19.0012,9
17.22,77,19.9995,2
16.4,76,12.998,1
16.4,71,15.0013,8
15.58,76,15.0013,20
14.76,81,15.0013,53
14.76,66,19.9995,93
14.76,66,8.9981,75
14.76,76,12.998,59
13.94,81,11.0014,74
13.94,71,11.0014,76
13.94,57,12.998,65
14.76,46,22.0028,53
13.12,42,30.0026,30
12.3,39,23.9994,22
10.66,44,22.0028,31
9.84,44,19.9995,9
9.02,47,11.0014,8
9.02,44,23.9994,5
8.2,44,27.9993,2
6.56,47,26.0027,1
6.56,47,19.0012,3
5.74,50,26.0027,30
5.74,50,19.0012,154
6.56,43,26.0027,88
7.38,43,16.9979,44
8.2,40,22.0028,51
9.02,35,19.9995,61
9.84,35,19.0012,61
10.66,30,19.0012,77
10.66,30,16.9979,72
10.66,30,16.9979,76
9.84,32,7.0015,157
8.2,47,0,110
7.38,64,8.9981,52
5.74,69,8.9981,20
6.56,55,7.0015,5
6.56,59,7.0015,2
5.74,63,8.9981,1
5.74,63,6.0032,2
4.92,68,7.0015,4
4.92,74,7.0015,36
4.92,74,8.9981,94
5.74,69,11.0014,179
6.56,64,15.0013,100
6.56,69,22.0028,42
9.02,51,19.9995,57
9.02,51,11.0014,78
9.84,56,12.998,97
10.66,52,15.0013,63
11.48,52,16.9979,65
12.3,49,16.9979,83
11.48,48,15.0013,212
10.66,48,12.998,182
9.84,48,7.0015,112
9.84,48,7.0015,54
9.02,64,0,48
9.02,64,6.0032,35
8.2,69,6.0032,11
6.56,74,6.0032,6
6.56,74,6.0032,2
9.02,47,11.0014,3
8.2,47,15.0013,33
8.2,40,19.9995,195
9.02,37,22.0028,115
9.02,37,22.0028,57
10.66,33,22.0028,46
10.66,33,22.0028,79
11.48,30,19.9995,71
12.3,28,12.998,62
12.3,28,6.0032,89
9.84,38,12.998,190
9.84,38,8.9981,169
9.84,38,7.0015,132
9.02,47,11.0014,89
8.2,51,12.998,43
7.38,55,8.9981,42
8.2,47,0,19
7.38,55,0,11
6.56,64,0,4
6.56,64,0,2
6.56,64,6.0032,1
5.74,69,6.0032,4
5.74,63,7.0015,36
6.56,59,0,95
6.56,59,0,219
9.02,44,6.0032,59
10.66,35,0,84
10.66,35,7.0015,67
11.48,36,11.0014,70
11.48,36,0,62
10.66,38,11.0014,86
9.02,51,11.0014,172
9.02,51,8.9981,163
9.02,55,6.0032,112
8.2,51,11.0014,69
9.02,55,15.0013,48
9.02,51,19.0012,52
8.2,59,12.998,23
8.2,64,12.998,17
8.2,69,15.0013,7
8.2,69,15.0013,1
8.2,69,8.9981,1
9.02,55,0,5
8.2,69,0,34
8.2,69,8.9981,84
8.2,51,16.9979,210
8.2,47,19.9995,134
9.02,37,22.0028,63
8.2,37,16.9979,59
8.2,40,16.9979,50
8.2,37,11.0014,72
8.2,37,11.0014,87
8.2,37,0,187
8.2,40,6.0032,123
6.56,55,6.0032,95
7.38,47,7.0015,51
7.38,43,11.0014,36
7.38,51,11.0014,15
7.38,51,11.0014,25
7.38,55,6.0032,16
7.38,55,11.0014,7
7.38,55,11.0014,1
6.56,74,11.0014,5
6.56,74,11.0014,2
6.56,74,7.0015,9
6.56,93,7.0015,15
6.56,93,7.0015,20
7.38,80,11.0014,61
8.2,69,26.0027,62
8.2,59,23.9994,98
8.2,44,22.0028,102
8.2,32,30.0026,74
7.38,29,30.0026,76
6.56,37,36.9974,69
5.74,39,19.9995,55
5.74,36,16.9979,30
4.92,36,16.9979,28
4.92,39,23.9994,37
4.92,36,26.0027,34
4.1,39,30.0026,22
4.1,42,26.0027,25
4.1,42,31.0009,12
4.1,46,31.0009,11
4.1,46,27.9993,4
3.28,53,12.998,1
3.28,53,12.998,1
4.1,49,19.0012,1
3.28,53,12.998,6
4.1,49,19.0012,10
4.92,46,35.0008,19
5.74,43,26.0027,49
6.56,40,35.0008,49
7.38,37,30.0026,83
8.2,34,30.0026,75
9.02,32,31.0009,72
9.02,35,23.9994,82
8.2,34,30.0026,92
6.56,40,22.0028,48
6.56,43,22.0028,41
5.74,46,16.9979,38
5.74,46,27.9993,20
5.74,46,19.9995,15
4.92,50,12.998,6
4.92,50,19.0012,1
4.92,50,15.0013,3
4.92,50,15.0013,1
4.1,54,8.9981,3
4.1,54,16.9979,3
4.92,50,19.0012,31
4.92,50,15.0013,77
4.92,50,19.0012,188
5.74,50,16.9979,94
5.74,50,19.9995,31
6.56,47,19.0012,30
8.2,40,19.0012,52
8.2,40,19.0012,54
8.2,40,15.0013,45
8.2,40,7.0015,178
8.2,40,15.0013,155
6.56,47,11.0014,95
6.56,50,11.0014,74
5.74,59,12.998,38
5.74,59,11.0014,24
5.74,59,11.0014,18
5.74,59,7.0015,12
5.74,59,11.0014,3
6.56,55,12.998,3
6.56,55,8.9981,6
6.56,55,8.9981,27
6.56,55,0,99
7.38,51,6.0032,217
7.38,51,11.0014,130
8.2,51,11.0014,54
8.2,47,8.9981,35
8.2,51,7.0015,57
8.2,59,6.0032,52
8.2,59,6.0032,63
6.56,80,6.0032,47
6.56,86,15.0013,76
6.56,86,15.0013,136
6.56,93,7.0015,95
6.56,93,0,51
6.56,93,12.998,32
6.56,86,6.0032,20
6.56,93,7.0015,29
6.56,93,6.0032,19
6.56,86,6.0032,7
6.56,86,7.0015,6
5.74,86,8.9981,1
5.74,86,11.0014,5
4.92,93,8.9981,16
5.74,69,8.9981,54
6.56,59,11.0014,128
6.56,59,22.0028,81
7.38,55,15.0013,39
8.2,51,26.0027,35
8.2,47,39.0007,55
9.02,44,23.9994,49
8.2,47,22.0028,44
9.02,44,22.0028,68
8.2,47,23.9994,139
8.2,47,35.0008,137
7.38,47,27.9993,83
6.56,50,22.0028,56
6.56,55,30.0026,33
5.74,59,27.9993,20
5.74,50,19.0012,2
5.74,50,23.9994,2
5.74,50,22.0028,3
5.74,50,16.9979,4
5.74,50,19.9995,3
4.92,54,8.9981,28
4.92,54,8.9981,72
5.74,50,12.998,202
5.74,50,22.0028,139
6.56,50,23.9994,38
8.2,44,30.0026,37
8.2,44,27.9993,52
9.02,41,30.0026,83
9.02,41,26.0027,42
9.84,38,19.9995,60
9.84,38,23.9994,78
8.2,40,19.0012,162
8.2,40,22.0028,144
6.56,47,16.9979,99
6.56,47,15.0013,64
5.74,46,19.9995,40
5.74,46,22.0028,30
4.92,50,12.998,15
4.92,50,12.998,14
4.1,54,11.0014,5
4.1,54,8.9981,1
4.1,54,7.0015,1
4.1,54,6.0032,8
4.1,54,0,17
4.1,74,11.0014,70
4.92,68,0,158
5.74,69,8.9981,117
7.38,55,12.998,44
7.38,51,19.0012,53
8.2,44,16.9979,61
9.02,37,26.0027,77
9.02,41,19.0012,64
9.02,41,7.0015,90
9.02,41,11.0014,159
8.2,47,0,139
6.56,59,6.0032,92
7.38,59,0,68
6.56,69,0,52
6.56,69,0,36
7.38,55,0,27
7.38,55,0,28
6.56,59,6.0032,20
6.56,59,6.0032,12
6.56,59,0,8
6.56,59,0,5
6.56,59,0,1
5.74,63,7.0015,3
5.74,63,0,10
5.74,63,8.9981,23
6.56,64,8.9981,33
7.38,59,11.0014,59
8.2,55,15.0013,72
9.84,48,15.0013,89
11.48,38,19.9995,101
12.3,39,19.0012,118
13.12,36,12.998,129
13.94,34,12.998,128
13.12,36,19.0012,83
13.12,39,16.9979,74
13.12,39,16.9979,41
13.12,39,15.0013,57
12.3,42,7.0015,26
12.3,45,19.0012,44
10.66,56,0,39
10.66,56,6.0032,16
9.02,69,0,15
10.66,56,11.0014,1
10.66,56,11.0014,2
10.66,56,11.0014,1
9.84,56,19.9995,3
9.02,55,19.0012,18
9.02,51,16.9979,32
9.02,51,19.0012,79
9.84,44,16.9979,93
9.84,41,19.0012,104
10.66,35,19.9995,118
11.48,36,16.9979,91
9.84,38,15.0013,99
9.02,37,16.9979,105
8.2,40,11.0014,67
7.38,47,8.9981,61
7.38,47,11.0014,57
8.2,49,8.9981,21
8.2,40,7.0015,18
8.2,47,15.0013,17
8.2,44,12.998,16
7.38,43,16.9979,8
7.38,43,12.998,2
7.38,43,8.9981,3
7.38,43,11.0014,1
7.38,43,12.998,5
6.56,50,8.9981,13
6.56,47,15.0013,33
6.56,47,15.0013,47
6.56,50,16.9979,57
6.56,55,12.998,64
7.38,47,8.9981,80
7.38,47,8.9981,93
7.38,43,7.0015,86
8.2,47,11.0014,93
8.2,47,11.0014,82
8.2,51,12.998,71
7.38,55,16.9979,92
7.38,59,12.998,60
6.56,80,12.998,33
6.56,80,12.998,27
5.74,93,16.9979,13
6.56,86,19.0012,4
8.2,86,22.0028,3
8.2,86,15.0013,22
9.02,80,11.0014,28
9.02,87,11.0014,35
9.02,87,12.998,61
9.02,82,12.998,125
9.02,80,11.0014,133
9.02,80,8.9981,99
9.02,87,0,83
9.02,93,7.0015,41
9.02,93,6.0032,33
9.02,93,0,20
9.02,93,0,3
9.02,93,8.9981,7
9.02,93,8.9981,3
9.02,93,8.9981,2
9.02,93,6.0032,7
9.02,93,6.0032,32
9.84,92,7.0015,90
9.84,93,7.0015,197
9.84,93,7.0015,109
10.66,93,8.9981,47
11.48,87,6.0032,52
12.3,81,6.0032,70
16.4,62,19.0012,78
16.4,58,16.9979,75
16.4,54,19.0012,82
15.58,58,26.0027,104
13.94,61,19.0012,161
13.12,57,27.9993,112
13.12,49,19.9995,76
12.3,52,11.0014,59
12.3,52,31.0009,28
6.56,64,7.0015,8
6.56,69,7.0015,3
6.56,69,0,2
6.56,69,0,2
5.74,93,0,3
5.74,93,0,22
6.56,93,0,52
6.56,93,0,135
6.56,93,0,116
6.56,93,0,47
7.38,86,0,51
8.2,86,0,55
8.2,86,0,52
9.02,80,6.0032,54
9.84,75,0,52
9.84,75,8.9981,64
9.84,75,0,176
9.84,81,7.0015,168
9.02,87,8.9981,74
9.02,87,6.0032,36
9.02,93,7.0015,2
9.02,93,12.998,3
9.02,93,8.9981,4
9.02,93,19.0012,1
9.02,93,7.0015,3
9.02,93,7.0015,18
9.02,93,15.0013,49
9.02,93,15.0013,155
9.84,93,6.0032,123
9.02,100,0,61
9.84,93,15.0013,64
13.94,93,11.0014,75
15.58,82,26.0027,63
15.58,76,22.0028,76
14.76,71,19.9995,103
14.76,53,35.0008,190
13.94,42,36.9974,182
11.48,45,32.9975,91
9.84,48,36.9974,75
9.02,47,22.0028,63
9.02,44,16.9979,40
8.2,44,30.0026,32
8.2,40,30.0026,12
8.2,44,35.0008,5
7.38,43,16.9979,2
7.38,43,16.9979,1
6.56,50,19.9995,2
6.56,43,23.9994,39
5.74,50,22.0028,87
5.74,50,23.9994,188
7.38,43,22.0028,52
7.38,43,30.0026,64
8.2,40,23.9994,69
8.2,40,27.9993,51
9.02,37,26.0027,47
9.02,37,22.0028,60
9.02,37,16.9979,78
8.2,40,12.998,175
8.2,40,11.0014,147
8.2,40,0,96
8.2,47,6.0032,109
7.38,55,7.0015,54
7.38,51,6.0032,41
8.2,47,7.0015,38
8.2,44,0,13
6.56,59,0,7
5.74,63,7.0015,1
5.74,63,7.0015,1
5.74,63,8.9981,7
6.56,55,0,28
5.74,59,0,87
